Accuracy	Losses
0.2919375	1.917896068572998
0.3908829414707354	1.6674176218987942
0.4328125	1.5534728763103485
0.4596048024012006	1.4809415429278932
0.4837418709354677	1.4253462697936035
0.50590625	1.3765957689881325
0.5241683341670835	1.3313206969767346
0.5369247123561781	1.2995411248848758
0.549375	1.2584121409654618
0.5632191095547774	1.2228314734626378
0.5751938469234618	1.198084204837404
0.586625	1.1666168010234832
0.5911080540270135	1.14514758945883
0.6015625	1.1207085703611375
0.6134629814907454	1.0951687305673712
0.6180590295147573	1.0817879752673882
0.624	1.063194168806076
0.6362243621810906	1.0365192707685782
0.6337543771885943	1.0355303242780256
0.6394375	1.0222814390063286
0.6478551775887944	1.0010227190667
0.6530140070035018	0.9906729781490495
0.656875	0.9753804347217083
0.6590482741370686	0.9711390255748659
0.6640625	0.9576981863379479
0.6678651825912957	0.9502159318904867
0.6733991995997999	0.9388366299548586
0.675375	0.9302843632400036
0.6782141070535268	0.9192874459638305
0.6806215607803902	0.9200845244170547
0.68059375	0.9115163791775703
0.6863119059529765	0.8966201120701476
0.6843734367183592	0.9052191499234915
0.6859375	0.8967122530341148
0.6950975487743872	0.8761630603049385
0.6942221110555278	0.8836218769279583
0.69484375	0.8772339433729649
0.6950975487743872	0.8792703610888238
0.70153125	0.8675790206491947
0.705727863931966	0.8596036873977742
0.7053214107053527	0.8553853143955124
0.70578125	0.8595367841720581
0.7038519259629815	0.8540016264245175
0.7072911455727864	0.8535714493267771
0.70715625	0.8500523001849651
0.7077601300650325	0.8505894531900732
0.7127626313156579	0.8433664812780488
0.71165625	0.8440222997069359
0.7151075537768884	0.8388846557458798
0.715875	0.8299914263188839
